job,education,default,contact,month,campaign,previous,poutcome,dur_pdays,emp,y
0.9090909090909092,0.2857142857142857,0.0,0.0,0.2222222222222222,0.03636363636363636,0.0,0.0,0.05815372102480683,0.9985442919076604,0.0
0.18181818181818182,0.8571428571428571,0.0,0.0,0.1111111111111111,0.09090909090909091,0.0,0.0,0.036193574623830826,0.9859722674738192,0.0
0.18181818181818182,0.8571428571428571,0.0,1.0,0.3333333333333333,0.05454545454545454,0.0,0.0,0.020943472956486377,0.999073640304875,0.0
0.18181818181818182,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.027450183001220006,0.8440372640720657,0.0
0.2727272727272727,0.14285714285714285,0.5,1.0,0.0,0.0,0.0,0.0,0.08499389995933306,0.1280439226979764,0.0
0.9090909090909092,0.0,0.5,1.0,0.0,0.07272727272727272,0.0,0.0,0.04290361935746238,0.11758910960186572,0.0
0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.12118747458316388,0.8437275402155155,0.0
0.2727272727272727,0.14285714285714285,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.07401382675884506,0.8437275402155155,0.0
0.2727272727272727,0.8571428571428571,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.03578690524603497,0.9989413032055714,0.0
0.6363636363636364,0.0,0.5,1.0,0.7777777777777777,0.05454545454545454,0.0,0.0,0.0892639284261895,0.0870544173846538,0.0
0.5454545454545454,0.8571428571428571,0.0,1.0,0.3333333333333333,0.01818181818181818,0.0,0.0,0.033753558357055714,0.999073640304875,0.0
0.2727272727272727,0.0,0.5,0.0,0.1111111111111111,0.0,0.0,0.0,0.08316388775925172,0.9859722674738192,0.0
0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.035990239934932895,0.843934022786549,0.0
1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.05454545454545454,0.2857142857142857,1.0,0.0003407229922073354,0.20435482529116994,1.0
